depth,mcw,lr,n_estimators,subsample,colsample,lambda,alpha,booster,rate_drop,skip_drop,spw_mode,cv_ap_agg,cv_ap_mean,cv_ap_std,mean_rounds
3,2.0,0.03,1200,0.8381245473604608,0.8442935882628408,2.0,0.0,gbtree,0.0,0.0,sqrt,0.14116203505635755,0.24326056332772242,0.10209852827136486,1200
4,1.0,0.01,1500,0.9063366495365177,0.8829229965361861,2.0,0.1,gbtree,0.0,0.0,sqrt,0.14020445374986898,0.25335141860177757,0.11314696485190859,1500
4,3.0,0.02,800,0.8917270566298521,0.8122391270600361,1.0,0.3,gbtree,0.0,0.0,sqrt,0.14570263267419287,0.25297418479830686,0.10727155212411398,800
3,1.0,0.02,2000,0.8076152796559096,0.9329925723425989,5.0,0.05,gbtree,0.0,0.0,sqrt,0.13887073489392082,0.24248911323344438,0.10361837833952357,2000
4,3.0,0.03,1200,0.8492229001212098,0.8232562425091616,10.0,0.05,gbtree,0.0,0.0,sqrt,0.14770499556852465,0.2530057709374244,0.10530077536889973,1200
4,2.0,0.02,800,0.8056022283123822,0.9233900840989487,3.0,0.3,gbtree,0.0,0.0,sqrt,0.1513498284214411,0.2662298250921359,0.11487999667069479,800
3,1.0,0.01,2000,0.8323731541245265,0.8934335713728501,5.0,0.05,gbtree,0.0,0.0,sqrt,0.14030577107382308,0.25357766196857195,0.11327189089474886,2000
3,2.0,0.03,1500,0.895614485224731,0.9089137000583992,10.0,0.05,gbtree,0.0,0.0,sqrt,0.1492704296925504,0.2535959209651204,0.10432549127257001,1500
4,2.0,0.02,1500,0.9192779292153055,0.8406248376893112,5.0,0.05,gbtree,0.0,0.0,sqrt,0.1422304919568595,0.24746777504484685,0.10523728308798737,1500
3,2.0,0.01,1200,0.9443972622016887,0.9253970180768308,1.0,0.3,gbtree,0.0,0.0,sqrt,0.14679902569992664,0.260333161780932,0.11353413608100539,1200
3,1.0,0.02,1200,0.823465556400663,0.8375364347246893,1.0,0.3,gbtree,0.0,0.0,sqrt,0.13035210697905453,0.24376580872027853,0.11341370174122399,1200
3,1.0,0.01,2000,0.877504438613985,0.898566699275025,10.0,0.05,gbtree,0.0,0.0,sqrt,0.15194291785331313,0.263563321677815,0.11162040382450186,2000
3,3.0,0.03,2000,0.8849055815741115,0.8237969671463737,1.0,0.0,gbtree,0.0,0.0,sqrt,0.13009113620486285,0.23562354207620487,0.10553240587134204,2000
4,1.0,0.03,800,0.8467119964086941,0.9469265792932262,10.0,0.3,gbtree,0.0,0.0,sqrt,0.14015415727488673,0.2675739399630733,0.1274197826881866,800
4,2.0,0.02,2000,0.9210369465576169,0.8519456481634101,10.0,0.1,gbtree,0.0,0.0,sqrt,0.14903232059698518,0.25607309907058984,0.10704077847360464,2000
4,2.0,0.02,800,0.9330020580947072,0.8391340435012571,2.0,0.05,gbtree,0.0,0.0,sqrt,0.14507040905494173,0.24826494459051626,0.10319453553557453,800
3,2.0,0.01,2000,0.8988040447428417,0.8244401640622144,2.0,0.0,gbtree,0.0,0.0,sqrt,0.13747842123471854,0.24451560483894721,0.10703718360422866,2000
4,3.0,0.02,1500,0.896493232766353,0.8687379335737275,3.0,0.1,gbtree,0.0,0.0,sqrt,0.144972924804445,0.2475346097791727,0.10256168497472769,1500
3,3.0,0.01,800,0.8977227157786681,0.8310026539815119,10.0,0.0,gbtree,0.0,0.0,sqrt,0.1521971157748528,0.29102273196802086,0.13882561619316808,800
4,3.0,0.02,1200,0.8058444698465351,0.8927380826506839,1.0,0.05,gbtree,0.0,0.0,sqrt,0.13986279999217843,0.2376274352244578,0.09776463523227936,1200
4,1.0,0.02,1200,0.803490790360374,0.9221702723883404,1.0,0.1,gbtree,0.0,0.0,sqrt,0.1310382307788882,0.2447567357197361,0.1137185049408479,1200
4,2.0,0.01,1200,0.8943414270169826,0.931620802029058,5.0,0.0,gbtree,0.0,0.0,sqrt,0.15006027587834772,0.26336260094306796,0.11330232506472024,1200
3,1.0,0.01,2000,0.8266159315669585,0.9125922127461288,3.0,0.0,gbtree,0.0,0.0,sqrt,0.1356206769339265,0.24969273184678872,0.11407205491286224,2000
3,2.0,0.01,1500,0.8870816018515865,0.9300674910814583,10.0,0.3,gbtree,0.0,0.0,sqrt,0.15873056958651197,0.28725023939350003,0.12851966980698806,1500
3,3.0,0.01,1500,0.9131814311127023,0.8154685803253899,1.0,0.0,gbtree,0.0,0.0,sqrt,0.14323943499560066,0.24838276240389706,0.10514332740829642,1500
4,1.0,0.02,800,0.93432848427443,0.8583802518101245,5.0,0.0,gbtree,0.0,0.0,sqrt,0.1447220233251495,0.25517873781257494,0.11045671448742544,800
